id,longitude,latitude
"908",2867278.57138012,2448601.70035237
"909",2892278.57138012,2448601.70035237
"910",2917278.57138012,2448601.70035237
"1000",2792278.57138012,2423601.70035237
"1001",2817278.57138012,2423601.70035237
"1002",2842278.57138012,2423601.70035237
"1003",2867278.57138012,2423601.70035237
"1004",2892278.57138012,2423601.70035237
"1005",2917278.57138012,2423601.70035237
"1006",2942278.57138012,2423601.70035237
"1007",2967278.57138012,2423601.70035237
"1095",2792278.57138012,2398601.70035237
"1096",2817278.57138012,2398601.70035237
"1097",2842278.57138012,2398601.70035237
"1098",2867278.57138012,2398601.70035237
"1099",2892278.57138012,2398601.70035237
"1100",2917278.57138012,2398601.70035237
"1101",2942278.57138012,2398601.70035237
"1102",2967278.57138012,2398601.70035237
"1103",2992278.57138012,2398601.70035237
"1104",3017278.57138012,2398601.70035237
"1105",3042278.57138012,2398601.70035237
"1106",3067278.57138012,2398601.70035237
"1190",2792278.57138012,2373601.70035237
"1191",2817278.57138012,2373601.70035237
"1192",2842278.57138012,2373601.70035237
"1193",2867278.57138012,2373601.70035237
"1194",2892278.57138012,2373601.70035237
"1195",2917278.57138012,2373601.70035237
"1196",2942278.57138012,2373601.70035237
"1197",2967278.57138012,2373601.70035237
"1198",2992278.57138012,2373601.70035237
"1199",3017278.57138012,2373601.70035237
"1200",3042278.57138012,2373601.70035237
"1201",3067278.57138012,2373601.70035237
"1202",3092278.57138012,2373601.70035237
"1203",3117278.57138012,2373601.70035237
"1285",2792278.57138012,2348601.70035237
"1286",2817278.57138012,2348601.70035237
"1287",2842278.57138012,2348601.70035237
"1288",2867278.57138012,2348601.70035237
"1289",2892278.57138012,2348601.70035237
"1290",2917278.57138012,2348601.70035237
"1291",2942278.57138012,2348601.70035237
"1292",2967278.57138012,2348601.70035237
"1293",2992278.57138012,2348601.70035237
"1294",3017278.57138012,2348601.70035237
"1295",3042278.57138012,2348601.70035237
"1296",3067278.57138012,2348601.70035237
"1297",3092278.57138012,2348601.70035237
"1298",3117278.57138012,2348601.70035237
"1299",3142278.57138012,2348601.70035237
"1300",3167278.57138012,2348601.70035237
"1301",3192278.57138012,2348601.70035237
"1302",3217278.57138012,2348601.70035237
"1303",3242278.57138012,2348601.70035237
"1380",2792278.57138012,2323601.70035237
"1381",2817278.57138012,2323601.70035237
"1382",2842278.57138012,2323601.70035237
"1383",2867278.57138012,2323601.70035237
"1384",2892278.57138012,2323601.70035237
"1385",2917278.57138012,2323601.70035237
"1386",2942278.57138012,2323601.70035237
"1387",2967278.57138012,2323601.70035237
"1388",2992278.57138012,2323601.70035237
"1389",3017278.57138012,2323601.70035237
"1390",3042278.57138012,2323601.70035237
"1391",3067278.57138012,2323601.70035237
"1392",3092278.57138012,2323601.70035237
"1393",3117278.57138012,2323601.70035237
"1394",3142278.57138012,2323601.70035237
"1395",3167278.57138012,2323601.70035237
"1396",3192278.57138012,2323601.70035237
"1397",3217278.57138012,2323601.70035237
"1398",3242278.57138012,2323601.70035237
"1399",3267278.57138012,2323601.70035237
"1400",3292278.57138012,2323601.70035237
"1401",3317278.57138012,2323601.70035237
"1403",3367278.57138012,2323601.70035237
"1475",2792278.57138012,2298601.70035237
"1476",2817278.57138012,2298601.70035237
"1477",2842278.57138012,2298601.70035237
"1478",2867278.57138012,2298601.70035237
"1479",2892278.57138012,2298601.70035237
"1480",2917278.57138012,2298601.70035237
"1481",2942278.57138012,2298601.70035237
"1482",2967278.57138012,2298601.70035237
"1483",2992278.57138012,2298601.70035237
"1484",3017278.57138012,2298601.70035237
"1485",3042278.57138012,2298601.70035237
"1486",3067278.57138012,2298601.70035237
"1487",3092278.57138012,2298601.70035237
"1488",3117278.57138012,2298601.70035237
"1489",3142278.57138012,2298601.70035237
"1490",3167278.57138012,2298601.70035237
"1491",3192278.57138012,2298601.70035237
"1492",3217278.57138012,2298601.70035237
"1493",3242278.57138012,2298601.70035237
"1494",3267278.57138012,2298601.70035237
"1495",3292278.57138012,2298601.70035237
"1496",3317278.57138012,2298601.70035237
"1497",3342278.57138012,2298601.70035237
"1498",3367278.57138012,2298601.70035237
"1499",3392278.57138012,2298601.70035237
"1572",2842278.57138012,2273601.70035237
"1573",2867278.57138012,2273601.70035237
"1574",2892278.57138012,2273601.70035237
"1575",2917278.57138012,2273601.70035237
"1576",2942278.57138012,2273601.70035237
"1577",2967278.57138012,2273601.70035237
"1578",2992278.57138012,2273601.70035237
"1579",3017278.57138012,2273601.70035237
"1580",3042278.57138012,2273601.70035237
"1581",3067278.57138012,2273601.70035237
"1582",3092278.57138012,2273601.70035237
"1583",3117278.57138012,2273601.70035237
"1584",3142278.57138012,2273601.70035237
"1585",3167278.57138012,2273601.70035237
"1586",3192278.57138012,2273601.70035237
"1587",3217278.57138012,2273601.70035237
"1588",3242278.57138012,2273601.70035237
"1589",3267278.57138012,2273601.70035237
"1590",3292278.57138012,2273601.70035237
"1591",3317278.57138012,2273601.70035237
"1592",3342278.57138012,2273601.70035237
"1593",3367278.57138012,2273601.70035237
"1594",3392278.57138012,2273601.70035237
"1595",3417278.57138012,2273601.70035237
"1669",2892278.57138012,2248601.70035237
"1671",2942278.57138012,2248601.70035237
"1672",2967278.57138012,2248601.70035237
"1673",2992278.57138012,2248601.70035237
"1674",3017278.57138012,2248601.70035237
"1675",3042278.57138012,2248601.70035237
"1676",3067278.57138012,2248601.70035237
"1677",3092278.57138012,2248601.70035237
"1678",3117278.57138012,2248601.70035237
"1679",3142278.57138012,2248601.70035237
"1680",3167278.57138012,2248601.70035237
