id,longitude,latitude
"34",4228765.99305737,3529540.71480308
"35",4253765.99305737,3529540.71480308
"61",4253765.99305737,3504540.71480308
"62",4278765.99305737,3504540.71480308
"63",4303765.99305737,3504540.71480308
"87",4253765.99305737,3479540.71480308
"88",4278765.99305737,3479540.71480308
"89",4303765.99305737,3479540.71480308
"90",4328765.99305737,3479540.71480308
"93",4403765.99305737,3479540.71480308
"99",4553765.99305737,3479540.71480308
"113",4253765.99305737,3454540.71480308
"114",4278765.99305737,3454540.71480308
"115",4303765.99305737,3454540.71480308
"116",4328765.99305737,3454540.71480308
"117",4353765.99305737,3454540.71480308
"118",4378765.99305737,3454540.71480308
"122",4478765.99305737,3454540.71480308
"123",4503765.99305737,3454540.71480308
"124",4528765.99305737,3454540.71480308
"139",4253765.99305737,3429540.71480308
"140",4278765.99305737,3429540.71480308
"141",4303765.99305737,3429540.71480308
"142",4328765.99305737,3429540.71480308
"143",4353765.99305737,3429540.71480308
"144",4378765.99305737,3429540.71480308
"146",4428765.99305737,3429540.71480308
"147",4453765.99305737,3429540.71480308
"148",4478765.99305737,3429540.71480308
"149",4503765.99305737,3429540.71480308
"150",4528765.99305737,3429540.71480308
"151",4553765.99305737,3429540.71480308
"164",4228765.99305737,3404540.71480308
"165",4253765.99305737,3404540.71480308
"166",4278765.99305737,3404540.71480308
"167",4303765.99305737,3404540.71480308
"168",4328765.99305737,3404540.71480308
"169",4353765.99305737,3404540.71480308
"170",4378765.99305737,3404540.71480308
"171",4403765.99305737,3404540.71480308
"172",4428765.99305737,3404540.71480308
"173",4453765.99305737,3404540.71480308
"174",4478765.99305737,3404540.71480308
"175",4503765.99305737,3404540.71480308
"176",4528765.99305737,3404540.71480308
"177",4553765.99305737,3404540.71480308
"178",4578765.99305737,3404540.71480308
"179",4603765.99305737,3404540.71480308
"186",4128765.99305737,3379540.71480308
"187",4153765.99305737,3379540.71480308
"188",4178765.99305737,3379540.71480308
"190",4228765.99305737,3379540.71480308
"191",4253765.99305737,3379540.71480308
"192",4278765.99305737,3379540.71480308
"193",4303765.99305737,3379540.71480308
"194",4328765.99305737,3379540.71480308
"195",4353765.99305737,3379540.71480308
"196",4378765.99305737,3379540.71480308
"197",4403765.99305737,3379540.71480308
"198",4428765.99305737,3379540.71480308
"199",4453765.99305737,3379540.71480308
"200",4478765.99305737,3379540.71480308
"201",4503765.99305737,3379540.71480308
"202",4528765.99305737,3379540.71480308
"203",4553765.99305737,3379540.71480308
"204",4578765.99305737,3379540.71480308
"205",4603765.99305737,3379540.71480308
"213",4153765.99305737,3354540.71480308
"214",4178765.99305737,3354540.71480308
"215",4203765.99305737,3354540.71480308
"216",4228765.99305737,3354540.71480308
"217",4253765.99305737,3354540.71480308
"218",4278765.99305737,3354540.71480308
"219",4303765.99305737,3354540.71480308
"220",4328765.99305737,3354540.71480308
"221",4353765.99305737,3354540.71480308
"222",4378765.99305737,3354540.71480308
"223",4403765.99305737,3354540.71480308
"224",4428765.99305737,3354540.71480308
"225",4453765.99305737,3354540.71480308
"226",4478765.99305737,3354540.71480308
"227",4503765.99305737,3354540.71480308
"228",4528765.99305737,3354540.71480308
"229",4553765.99305737,3354540.71480308
"230",4578765.99305737,3354540.71480308
"231",4603765.99305737,3354540.71480308
"239",4153765.99305737,3329540.71480308
"240",4178765.99305737,3329540.71480308
"241",4203765.99305737,3329540.71480308
"242",4228765.99305737,3329540.71480308
"243",4253765.99305737,3329540.71480308
"244",4278765.99305737,3329540.71480308
"245",4303765.99305737,3329540.71480308
"246",4328765.99305737,3329540.71480308
"247",4353765.99305737,3329540.71480308
"248",4378765.99305737,3329540.71480308
"249",4403765.99305737,3329540.71480308
"250",4428765.99305737,3329540.71480308
"251",4453765.99305737,3329540.71480308
"252",4478765.99305737,3329540.71480308
"253",4503765.99305737,3329540.71480308
"254",4528765.99305737,3329540.71480308
"255",4553765.99305737,3329540.71480308
"256",4578765.99305737,3329540.71480308
"257",4603765.99305737,3329540.71480308
"264",4128765.99305737,3304540.71480308
"265",4153765.99305737,3304540.71480308
"266",4178765.99305737,3304540.71480308
"267",4203765.99305737,3304540.71480308
"268",4228765.99305737,3304540.71480308
"269",4253765.99305737,3304540.71480308
"270",4278765.99305737,3304540.71480308
"271",4303765.99305737,3304540.71480308
"272",4328765.99305737,3304540.71480308
"273",4353765.99305737,3304540.71480308
"274",4378765.99305737,3304540.71480308
"275",4403765.99305737,3304540.71480308
"276",4428765.99305737,3304540.71480308
"277",4453765.99305737,3304540.71480308
"278",4478765.99305737,3304540.71480308
"279",4503765.99305737,3304540.71480308
"280",4528765.99305737,3304540.71480308
"281",4553765.99305737,3304540.71480308
"282",4578765.99305737,3304540.71480308
"283",4603765.99305737,3304540.71480308
"289",4103765.99305737,3279540.71480308
"290",4128765.99305737,3279540.71480308
"291",4153765.99305737,3279540.71480308
"292",4178765.99305737,3279540.71480308
"293",4203765.99305737,3279540.71480308
"294",4228765.99305737,3279540.71480308
"295",4253765.99305737,3279540.71480308
"296",4278765.99305737,3279540.71480308
"297",4303765.99305737,3279540.71480308
"298",4328765.99305737,3279540.71480308
"299",4353765.99305737,3279540.71480308
"300",4378765.99305737,3279540.71480308
"301",4403765.99305737,3279540.71480308
"302",4428765.99305737,3279540.71480308
"303",4453765.99305737,3279540.71480308
"304",4478765.99305737,3279540.71480308
"305",4503765.99305737,3279540.71480308
"306",4528765.99305737,3279540.71480308
"307",4553765.99305737,3279540.71480308
"308",4578765.99305737,3279540.71480308
"309",4603765.99305737,3279540.71480308
