id,longitude,latitude
"47",4787769.7193316,2652291.64965323
"48",4797769.7193316,2652291.64965323
"72",4777769.7193316,2642291.64965323
"73",4787769.7193316,2642291.64965323
"74",4797769.7193316,2642291.64965323
"75",4807769.7193316,2642291.64965323
"95",4747769.7193316,2632291.64965323
"96",4757769.7193316,2632291.64965323
"97",4767769.7193316,2632291.64965323
"98",4777769.7193316,2632291.64965323
"99",4787769.7193316,2632291.64965323
"100",4797769.7193316,2632291.64965323
"101",4807769.7193316,2632291.64965323
"116",4697769.7193316,2622291.64965323
"117",4707769.7193316,2622291.64965323
"118",4717769.7193316,2622291.64965323
"119",4727769.7193316,2622291.64965323
"120",4737769.7193316,2622291.64965323
"121",4747769.7193316,2622291.64965323
"122",4757769.7193316,2622291.64965323
"123",4767769.7193316,2622291.64965323
"124",4777769.7193316,2622291.64965323
"125",4787769.7193316,2622291.64965323
"126",4797769.7193316,2622291.64965323
"128",4817769.7193316,2622291.64965323
"142",4697769.7193316,2612291.64965323
"143",4707769.7193316,2612291.64965323
"144",4717769.7193316,2612291.64965323
"145",4727769.7193316,2612291.64965323
"146",4737769.7193316,2612291.64965323
"147",4747769.7193316,2612291.64965323
"148",4757769.7193316,2612291.64965323
"149",4767769.7193316,2612291.64965323
"150",4777769.7193316,2612291.64965323
"151",4787769.7193316,2612291.64965323
"152",4797769.7193316,2612291.64965323
"159",4607769.7193316,2602291.64965323
"160",4617769.7193316,2602291.64965323
"161",4627769.7193316,2602291.64965323
"162",4637769.7193316,2602291.64965323
"166",4677769.7193316,2602291.64965323
"167",4687769.7193316,2602291.64965323
"168",4697769.7193316,2602291.64965323
"169",4707769.7193316,2602291.64965323
"170",4717769.7193316,2602291.64965323
"171",4727769.7193316,2602291.64965323
"172",4737769.7193316,2602291.64965323
"173",4747769.7193316,2602291.64965323
"174",4757769.7193316,2602291.64965323
"175",4767769.7193316,2602291.64965323
"176",4777769.7193316,2602291.64965323
"177",4787769.7193316,2602291.64965323
"184",4597769.7193316,2592291.64965323
"185",4607769.7193316,2592291.64965323
"186",4617769.7193316,2592291.64965323
"187",4627769.7193316,2592291.64965323
